uid,x_16_NLL_test,x_16_avg_mahalanobis_score,x_16_cov_stability_frob,x_16_cov_stability_normalized,x_16_intra_spread,x_16_kappa_profile,x_16_lambda_min_profile,x_16_mu_p_norm,x_16_n_profile,x_16_n_test,x_20_NLL_test,x_20_avg_mahalanobis_score,x_20_cov_stability_frob,x_20_cov_stability_normalized,x_20_intra_spread,x_20_kappa_profile,x_20_lambda_min_profile,x_20_mu_p_norm,x_20_n_profile,x_20_n_test,x_24_NLL_test,x_24_avg_mahalanobis_score,x_24_cov_stability_frob,x_24_cov_stability_normalized,x_24_intra_spread,x_24_kappa_profile,x_24_lambda_min_profile,x_24_mu_p_norm,x_24_n_profile,x_24_n_test,x_28_NLL_test,x_28_avg_mahalanobis_score,x_28_cov_stability_frob,x_28_cov_stability_normalized,x_28_intra_spread,x_28_kappa_profile,x_28_lambda_min_profile,x_28_mu_p_norm,x_28_n_profile,x_28_n_test,x_32_NLL_test,x_32_avg_mahalanobis_score,x_32_cov_stability_frob,x_32_cov_stability_normalized,x_32_intra_spread,x_32_kappa_profile,x_32_lambda_min_profile,x_32_mu_p_norm,x_32_n_profile,x_32_n_test
AE3RVPQUALI4HMJUOSE6YE4VVMUA,7.628231642568915,-17.790965154646912,3.87523430801175,0.8750664934961432,6.0594897952404425,24853.509938730895,0.0018140031524199827,6.281784856553709,159,151,2.451380128044497,-22.533207473934507,3.665342342675311,0.8700564945375895,6.035382425241433,38765.085777381166,0.001123217241602952,5.886245739821006,159,151,-4.463439729749575,-27.507615324658435,4.630396065529992,0.8529510331924908,6.694254893642453,98346.24264673259,0.0005307217325673131,6.794312981931578,159,151,-6.387203220961583,-33.20527757816721,4.2379224412302445,0.8663020364303398,6.546338048058625,65713.73178074251,0.0007712972595070544,6.565850777639518,159,151,-36.539037814585235,-28.272701772960662,4.438869100562057,0.8540121520248967,6.592222891569487,276785.65814211476,0.00018507326422692385,6.330859938684977,159,151
AE4ACJAS2JESKVSTFEGR77WFC2NQ,7.11989648548181,-14.985252730652974,8.707310507154203,0.6796482124281913,5.96722372025014,14760.2356133908,0.002930148330448096,7.255945559035321,226,232,2.083261884572154,-20.251118311816832,8.154345340353618,0.678949093996065,5.966850290172424,34829.12651632187,0.001219728036360216,7.022223164063731,226,232,-5.634428885362687,-22.95610773368895,8.44359855715777,0.7055618201957299,6.661272014861714,81120.10238925445,0.0006389149313764834,7.671061192564982,226,232,-8.57911235685221,-27.75612533138284,7.30162038514185,0.7316454969292556,6.38067920268051,61129.81959939982,0.0007834715135553898,7.476268656487523,226,232,-38.30571352676012,-23.709274643673027,9.14566855573767,0.6688057426428345,6.5685080602006405,273323.56009472394,0.00018527500560912538,7.383814535932113,226,232
AE4BY225FXPK32UJ5I67YPNQLIPQ,6.6686214044524075,-15.857278349127562,4.524357856203289,0.7354014244469631,5.0631420492103,14429.920558321744,0.00217933267248055,6.020554620702775,213,210,0.9508573398741816,-19.791710125533108,4.6255649063714115,0.7487408493217651,5.383740346823619,29894.262377765266,0.0011561367282163651,6.462107382466792,213,210,-5.838241824160178,-25.13897390270931,5.114433751611142,0.7754176450871371,6.095471834492823,78867.07117057832,0.000556953020998413,7.420668447528787,213,210,-8.340516466491177,-29.19339661153129,4.9429739340631365,0.7428953959085685,5.585618154125352,39797.37827094692,0.0009369962056570096,6.731721189866549,213,210,-38.74853645318806,-25.619948670208966,5.7733488363573136,0.7296639312799613,5.975775285184483,259083.94169445985,0.0001633527248547408,6.813869063043834,213,210
AE4SBEJSCJAWM7CRKJDBQF3O7RGA,7.968001256182497,-17.764859839402575,3.7007773964549275,0.8365915081870714,5.628051806711629,15413.992336479878,0.0024741033104207217,6.18324949255188,220,229,3.4708606358806695,-23.500380991788003,3.4439758516390215,0.8466886074296467,5.722471016529273,29584.249650334383,0.0013270853828995781,6.122410415694327,220,229,-3.8671582389851396,-26.803697802846862,5.256227759554664,0.7939344033191293,6.42115615062364,90114.80064681076,0.0005330666449591628,7.08896307543965,220,229,-5.6250270377677145,-34.392924913036396,4.600946608060407,0.8067438152539554,6.11257788752812,55326.842405776886,0.0007933403786055251,6.5754051939938405,220,229,-36.519984532671735,-28.072994290559492,5.450337787222107,0.7793149189001259,6.299897876083064,264217.3526737497,0.00017805054296736724,6.457250075863764,220,229
AE4XAONOTHWDUYQGLCZSHVJ4TP3A,8.988045482792574,-17.84500614892575,6.751432800643294,0.7923154459436764,6.5573399598329285,17964.770301801796,0.0027947576791198555,7.461934602584893,224,206,4.0090008122867555,-22.753960360879955,8.408141017074687,0.712152372131833,6.45311590165023,39935.40757824584,0.0012073334644395624,6.9060681339919645,224,206,-3.2088064188862773,-26.885516207036435,9.87980045671942,0.7073078965536737,7.187961664571108,86992.90431637508,0.0006672597973348236,7.722642306652431,224,206,-4.846095733061737,-32.07424002403142,10.452209973292621,0.6974776937829836,7.0522537604994024,64352.705113064694,0.0008876590344345745,7.732616010031583,224,206,-34.87526739240198,-27.915957565600564,12.399022774650913,0.6187084928299379,7.0937312879931325,272538.4144661983,0.00021080355494493456,7.355339570550816,224,206
AE5HNX5HIVHJH734GBQBRKUMGYTQ,8.617168462430072,-19.38065250630035,4.2494125399525755,0.8595462001652565,6.158465712002498,24285.53806896871,0.0018789581623220527,6.596351664818425,111,127,4.079809437285819,-26.188003189900254,5.872546893640381,0.7976145326031322,6.316396517154056,40866.39348933458,0.0011469784824743284,6.407317039165788,111,127,-2.3633626361675244,-31.840865572507813,7.820622245681053,0.7623975164442565,6.843234546251321,99182.57194273427,0.0005504742439105787,7.164522578711385,111,127,-5.014504938050733,-37.55467391718239,5.29897777182893,0.8363152978041932,6.659243148078533,72273.49006417434,0.0007231127659313654,6.8482867216865415,111,127,-34.44982497255741,-32.26287431301206,7.393476165574797,0.7810941329827066,6.890940676979337,273692.9611172921,0.00020449666546486434,6.9413744980862715,111,127
AE5IMGWRBJA7JQFBQTBK25HDYGVA,8.136204663305467,-19.11295270412881,2.8141239676937158,0.7999130502966637,4.84684576454502,12460.099915400173,0.002211580457445498,6.492527357717656,198,227,4.101849502963455,-27.1228677137093,4.719561919503635,0.696823192435374,4.999006304763167,28122.249729994306,0.0010531128376492632,6.683783361136426,198,227,-3.8020504914996436,-29.103058574906818,6.9713331460970505,0.6397538890218327,5.770213093285019,68175.75181489687,0.0005609132982870376,7.693562587569025,198,227,-5.347291498633572,-36.65210641630031,4.479137206472192,0.7286389932220505,5.362339132167108,37500.757132062135,0.0008813902161101328,7.027095038330121,198,227,-36.86436655421473,-31.927755176187464,5.686492393029468,0.678458788852293,5.634095371432991,245879.5077585482,0.0001470435832089458,6.945851737287836,198,227
AE5INRAIGFDNXPWT5LNVJEEAAHBQ,6.505963241168545,-16.931019292308186,1.6544058814339053,0.8972062925928184,4.902895583236742,12830.828271739898,0.00224204197125161,6.720120806477778,551,602,0.5258497507869049,-20.568390120156852,1.9395946688322494,0.8850407334369321,5.168601446105095,32291.676866074773,0.0009712369085490176,7.012070852518731,551,602,-7.372418660989519,-23.751676572085646,2.1481597191473947,0.9014762643233454,5.907281537942571,72986.63123234687,0.0005554729976570669,7.830287193583692,551,602,-9.386363925484753,-29.126373095705777,2.523558795428837,0.8651635462005196,5.498846244281915,38676.58785076984,0.0009130639915371598,7.44240569033763,551,602,-39.39738412251243,-25.88791328571275,2.890453884966274,0.8604682285994242,5.872064414407884,251728.31302040938,0.00015834877218710633,7.330862714877061,551,602
AE5MYIUHLA3BAMM2MFJXJQN6UPRQ,5.32142750655046,-16.441520601348195,1.2297848904440267,0.8761308471796965,4.200068302753233,12102.13264915946,0.001678587494590405,7.009737946749339,525,529,-1.555417885314256,-20.47468678852796,1.30508816155033,0.880630379095585,4.400091105965256,26599.16721313717,0.0008356985378791248,7.115199368938777,525,529,-9.311142189561236,-23.37385490117211,1.718905103434884,0.8751640805829385,5.059928276448962,66095.24561159816,0.00043632253392651536,7.601024247302974,525,529,-12.289320752785356,-29.727480213837755,1.898880558825736,0.8421549901382905,4.68174757620184,38797.0151844016,0.0006452018918136996,7.438333200521179,525,529,-43.898699648501996,-26.251506853501912,1.7700041194398148,0.8584800703990247,4.872077451911872,251847.11643417657,0.00010708553576555469,7.125038190752821,525,529
AE5UVV7CEOPTGOGVKMICTYGYINCA,9.320240561846331,-18.184420366212848,10.547899046382073,0.7813785868721252,7.544235052348175,32254.36933459308,0.0021196001226107654,8.170675933889374,119,115,5.182374316212314,-24.476169344224054,9.91349846702701,0.7946955937702423,7.6529939497713855,60607.12414576895,0.0011605132761136985,8.089787341685033,119,115,-2.964102307406892,-26.90687066494883,11.595159157790055,0.7499209717931408,7.893787247835841,112795.19079698688,0.0006516484456122547,8.677098962722772,119,115,-3.4719475415286474,-35.89558703289259,11.976049131081268,0.766212987929741,7.97466599380536,84952.40161252671,0.000894571694144606,8.556494018815227,119,115,-33.305822013461984,-28.530418998807956,11.059348442686243,0.7714164674776374,8.007295817270474,284932.05862682604,0.00026432322667591524,8.389829276596634,119,115
AE5VT32F7URDDGWM4KOVJ4LLBASQ,7.67926590337885,-16.338332573922862,2.3291757522496437,0.8515799466815797,5.0693310419098845,12506.49647159763,0.0024392055667316896,6.365811076216408,368,374,2.6189295027109605,-20.521962104321606,2.5482578680180263,0.8714418304457356,5.579263895632375,32961.5396634801,0.001121417199984835,6.758487511497028,368,374,-5.468617734326006,-23.675544461534155,3.7806321055253385,0.8382931671162007,6.2187450117403165,75876.22592035533,0.0005890178374905426,7.574070426691091,368,374,-7.321003183440685,-27.942491115482476,3.096622136192835,0.8521651874934345,5.918526210932709,40293.30834683891,0.0010150005039697009,7.205565172707904,368,374,-37.65930880866433,-25.325812809922258,3.715738187539235,0.8300302375355626,6.201149444671725,251946.46233536815,0.00017496171061693878,7.13658566433987,368,374
AE5WIXDVVE4ELVZ3GTARNEEVOBKA,8.387507267631932,-17.581457192992936,3.7087145691018324,0.8659687574404127,6.175441465770075,20994.88908512443,0.0021262873009380424,6.717267124819904,278,256,3.0572780144031784,-23.29933687309292,4.696808286383743,0.8193595801160607,6.233630013550062,36649.330008667435,0.0012158073189048994,6.323113477925921,278,256,-4.011629651031047,-26.63565075586807,6.921469430590927,0.7626915555289412,6.865687951451372,82706.09055559147,0.0006424302353574859,6.926420274271539,278,256,-6.285052495726231,-34.68386935117065,6.836052645268164,0.7706872900969057,6.735667965553553,64659.39203891299,0.0008031673730859861,7.003344512724925,278,256,-36.56755869776711,-28.378694090624492,6.717822111254705,0.7526635807580818,6.6758446127788815,277921.6859348629,0.00018088278512710108,6.659707521848882,278,256
AE6JXZ2HEEC3RLKQ23MI2JSCXSNA,8.19226362828698,-17.74544893662496,3.120084641271934,0.895372675551119,6.165826446206132,19656.425380049368,0.002313767142021325,6.7823149748508165,242,255,3.2998899357403855,-22.7075143416105,2.9473316413159227,0.8944546085137851,6.213023657642424,35261.5090159708,0.0012844700676576286,6.552128201785913,242,255,-4.36231300408849,-25.18726116613467,2.8358117340671933,0.9145888267374326,6.925459940316749,83453.47684716275,0.0006685650027918788,7.455894945473403,242,255,-6.2239508922042965,-32.273424087414746,2.842027487266678,0.9141721622807083,6.699361336432068,61131.88429718215,0.0008686530573246248,7.185292915354843,242,255,-36.51015500049615,-26.40035916024367,3.6134440703482893,0.8871618989346945,6.849815936122125,273885.5512615375,0.00019862044886983073,7.074498364457102,242,255
AE6PSXRFBXPR4AHQKR2TQC56EKKQ,6.266682090280847,-16.771031061583894,2.012290519365087,0.8657177499736134,4.781609139870582,15703.202543245503,0.0017207452306807326,5.974045923721537,543,515,0.3037959422635171,-20.941716661167032,1.7411336185086945,0.8872064609301524,4.985037313183552,29509.282221575068,0.0009825516636452598,5.918044451638997,543,515,-7.536687920346639,-23.74119210029082,1.993239752605774,0.8910204050388706,5.644603689333005,71368.68102278044,0.0005108008078087587,6.579053012337244,543,515,-10.023695385934808,-29.267640237023958,1.6804252197285312,0.9061840687532114,5.420680515471017,40571.19953625459,0.0008428740909139428,6.416052599457606,543,515,-40.33095016624861,-25.922865835509064,2.2016070034546154,0.8792557986223737,5.604336084900627,251927.4421748107,0.00014432202637488384,6.2126654509675605,543,515
AE6WU4SFOAVPE7A33RAHPQGCKR4A,7.283315208131511,-19.063263778337475,7.07844323613815,0.6872978212125234,5.68596234847874,22705.730409967673,0.0016174841894246311,6.977349858616494,104,109,1.4613854831312751,-23.42341174278363,7.2977797040106065,0.6593463523245173,5.726385886667274,44265.32124380402,0.0008352126100014249,6.468661297493793,104,109,-6.011219952547706,-27.307829046181716,9.079503430386195,0.6442743750602675,6.400320006946695,84190.75862706709,0.0005446872341708472,7.279614327415984,104,109,-7.2341093487413985,-36.97535480295424,9.660389423425745,0.6080163265846974,6.137762025035565,82723.04452526016,0.0005125853166683668,7.1565676068511195,104,109,-37.973474868700414,-31.788620634985726,11.114289658537302,0.5397906702543622,6.256530768788925,281569.0462597825,0.00015458652215672732,7.031951322243069,104,109
AE7QX327FYG2YS4OL27GBQABRRDQ,8.776470578520343,-18.771685547888183,6.470984803949271,0.7908383379074729,6.417039438530582,20391.897200790805,0.002363856063447023,7.34057985854963,209,195,3.5806432832800557,-22.634160452321872,7.2994475097570115,0.7660872401410761,6.515134274712008,44283.46104758562,0.0011279492104384575,6.896072293303539,209,195,-3.5198760555568556,-26.668607655686934,7.155882792515561,0.7861335875019104,7.095400783573213,87233.56917285128,0.0006658187181921414,7.7783741806250255,209,195,-5.599543437182272,-31.912607418408136,5.105607554429239,0.8430886787616635,6.889087829239547,62933.10815387196,0.000866988630789864,7.736281332323849,209,195,-34.970324011099784,-28.510372460598106,6.134113119333315,0.8124625448839312,7.043676208427949,268596.4286321739,0.00021031612426197234,7.457056869855758,209,195
AE7WDJBLIDV4PZNMNQ6E2ASAVUHQ,7.858036040815765,-16.619349763428193,6.128234215035869,0.7627822241300002,5.858659863400613,18946.32699892522,0.0022043717660008397,6.611563250230102,237,231,2.361686829448203,-20.74979726792379,7.463598693982375,0.7135197328123213,6.027889664420451,36367.88411130254,0.0012018857200012977,6.438115963788569,237,231,-5.269147439051515,-23.776306497510635,6.866988590258177,0.7593679010065564,6.610812697372735,80804.21178099704,0.0006252773742945804,7.230664900090798,237,231,-6.938607576869798,-29.855144013461103,6.989042128501045,0.7653857145377222,6.4667878490008395,54841.80335024127,0.0009100662971597297,6.968468834800794,237,231,-36.7726011268262,-26.278206223534898,8.59403276143845,0.7004074643012478,6.514629243836128,268535.97318936506,0.00018789648930387528,6.775308308441257,237,231
AEAYK5TRLFC5J5MMW2VZ5UOVYJUA,7.483982083146776,-16.972635364023795,12.312124496184303,0.4461685844216349,5.469541580681296,17858.11987262713,0.0021948347444181874,5.99367531861692,186,160,1.6008386813645632,-20.788373409449147,10.110819488801164,0.5213729895925516,5.598780334806772,44232.5517507849,0.0008770348457691248,6.04079670128608,186,160,-5.375429974295468,-25.539528757937646,11.281420363599274,0.5415408527112543,6.246597721492503,97442.51840040182,0.000482570566396551,6.984199243580931,186,160,-7.719652923500673,-31.20567417781668,11.204371778081248,0.5232441779435759,6.007677203167344,64331.26790130195,0.0006847312141037661,6.479087611052644,186,160,-37.7460374736675,-27.003075119957106,9.358234010606271,0.5905054080920227,6.151230387713379,266603.273557467,0.00017047896493073902,6.422358257327243,186,160
AEB2KGGJANOW27FHME4SJ3IIFGIA,7.222383768257382,-19.06801363635679,3.7978257730022382,0.7254240689107099,4.693707978735762,14417.734055200595,0.0017942844867206167,6.210850099097627,136,130,2.7990114728015043,-27.26132186290638,4.206289182314769,0.7293027792800029,4.974181072208219,30283.10981878521,0.0009695498857653503,6.353076442280411,136,130,-5.320979967241484,-30.096322617387212,2.845030016450127,0.8305671377778924,5.474237943832172,68698.43084357417,0.0005043804514302485,6.648115799256587,136,130,-7.189721281852838,-37.319169904395146,3.6470831780910973,0.7774814888341741,5.255562987542413,56940.95605357573,0.0005669274163049224,6.5723725222198,136,130,-39.72409539542346,-28.76414345490622,4.225036474711643,0.7513290521116325,5.534133491903042,274993.4112778895,0.00013014360880931925,6.370018673046333,136,130
