uid,bucket,n_sents,rank_Y_c,n_sents_minus_1,max_x_stable,sigma_max,sigma_at_eff_rank,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,energy_top32
AF7YPDDSITOLXXOX6JM7HYLUXK4Q,4,138,127,137,127,16.836061377124505,2.7309232828876132e-14,0.0628097152626038,0.12016649939614787,0.19437551873240658,0.2999557555301999,0.4519160360984475,0.6495464870677601
AHVYEGMH66T7GGYPUNFLF5YKWP4Q,1,106,65,105,65,21.746487284119638,5.3674476601255124e-14,0.09988747446946789,0.16241978807467078,0.2641258810952665,0.4332554650738456,0.6208737754176514,0.8274096435990401
AGMCZMRV6MJ5SCCUIEILXUKJ66WA,9,758,757,757,757,39.95360486735155,3.537229552223888e-14,0.04884761622959324,0.08459350136701053,0.12852422149467285,0.18826135262783056,0.27828089020584257,0.3977365458852255
AEQQFXTK3EE4OM2ZVE6MVDR4RZFQ,0,103,100,102,100,13.765066854236835,1.723291530176257e-14,0.06782984181489697,0.11092285018709125,0.18921746754564217,0.31710152335077857,0.4803094098053084,0.6860033288498394
AG2Q2QBN42KMKP5OY3GPU6MLPANQ,0,100,99,99,99,17.412217453927735,3.0198373181646415e-14,0.07124736314717703,0.11621837804205302,0.18500281564391818,0.28595413507538947,0.4428498289350697,0.65493415551926
AFR6N2JHAAWJLI5EJFQDENFMVVAQ,9,356,315,355,315,31.39293697116129,1.6776412424130556e-14,0.06361275465471077,0.09714545270742134,0.1449775724130468,0.21725240415182823,0.3265601522109566,0.4757654193318543
AGZ77AU67Q5B24EQDU2ZPPGRICMA,0,100,99,99,99,16.962192236068773,1.9651170874762936e-14,0.06982888756967981,0.11895252732660876,0.19177210564557506,0.301478462197479,0.45939309505371534,0.6699326980395185
AGQE2TFMRL2MM6S3JAMA4GXWYQLA,2,115,114,114,114,18.13289010464523,3.09506035269313e-14,0.06951026859061217,0.11290319743462522,0.17519197496382516,0.2716831698508949,0.42088168869427656,0.61804876049636
AFBICRUSD4PB7Q7X4WMX7SHEZZKA,6,164,139,163,139,21.423021059111786,1.3314957391497472e-14,0.052560872132634245,0.09282293187092344,0.1492052654275842,0.2399302602107553,0.3777183168755672,0.5722750640937482
AEQ2P7WFOZXT2WM3WSFJPDWLXQAQ,8,345,344,344,344,27.379504837236542,1.8372509219609237e-14,0.05136378255519775,0.08305656120712125,0.13031311731665685,0.19860595022763292,0.29807517164154307,0.43598267611231667
AH4IDFVWP6NCHZFCONC4EKN63YUQ,1,107,106,106,106,15.946580469917826,4.48374539094541e-14,0.05808091136144465,0.10460490235710049,0.17376176500368734,0.2836553812010646,0.44053885667642106,0.6556459862670962
AHKOEEKH4SLCLEMAR5YCS4FKMS6A,8,294,292,293,292,26.632288229438803,1.114208375379247e-14,0.07282140761590795,0.1091651231390059,0.17018547357230812,0.2505446893540409,0.36937144822999685,0.5251770500588069
AFFDJZ6EHOAFLE7WS4GZMLMIWMRA,8,243,242,242,242,23.86818302053104,1.4734307402658945e-14,0.05296511493703956,0.08653112824319975,0.1360494836641729,0.2116043342325532,0.3249358782931245,0.48030965551584154
AE756PEH3Q7CWIDVLOGLUM6KIEPA,2,118,117,117,117,17.605855836565844,2.7300197950262374e-14,0.07151727189712918,0.11301885579556974,0.1807730719378596,0.28680686793802196,0.4399269543235775,0.6397104242168485
AE4DQHMACKSMM65GRIU77B25OC4Q,7,190,189,189,189,22.90644102608334,1.6096121680588648e-14,0.0656713425639807,0.09863789095681895,0.15079530169628522,0.2337918113037975,0.3593898117763057,0.5272750556940301
AHXI6LRWN3FI2RWEFXHXSENYC66A,0,104,103,103,103,15.841858771152308,4.018611016432704e-14,0.04773317085314098,0.09091525522514117,0.15192718878093445,0.2512153846995677,0.4045913081495944,0.6193422560573282
AFGRAUIXGHWO224SV5YN3TNEUMJA,6,164,126,163,126,20.261685782295476,2.4089715021852042e-14,0.08056071122684877,0.1265344684260052,0.20609423000342164,0.32437950243333225,0.48550116023054435,0.677959107284982
AEHXKS3UWSNEK2WDJQQH54O7ZAZQ,3,124,123,123,123,15.35942668018132,2.5490574335805344e-14,0.05481503798241858,0.09372813559073581,0.15976157187162474,0.26440701289942614,0.4167143244119136,0.6134378980627555
AG6M2OKNHLTZENAACVZFQL36XT2A,9,392,370,391,370,30.388645487581215,1.3847597113171853e-14,0.04955363441279403,0.08433504912506333,0.13237854446426084,0.19843189132514935,0.29775595315460274,0.4335778993954313
AH7HCMRSHZCML7WGBJP3YPNTPLSA,4,130,129,129,129,17.665097072717874,9.466478771158522e-15,0.07670607506723995,0.11953072045131179,0.19097036727603234,0.2976780407125408,0.4478854134452676,0.6348883989693781
AF6QAHEJL6WEQHIO2PWQNPNPJIRQ,2,118,117,117,117,16.35822941164409,2.1816895072323278e-14,0.07412198413867989,0.12106843097333822,0.19625445214258275,0.3107699878921822,0.47159730869364425,0.6755724161413862
AFMKYJEEGTOYLGNBX6B7FZIKC3RA,5,148,147,147,147,17.917252514148075,1.2646791174110949e-14,0.0638454645997446,0.1088534473422116,0.16888325056625125,0.26700753250691645,0.4060212618345044,0.5930390416262377
AEBDUTDUTBCJ5DRNRYF5OE5MTPPA,7,216,184,215,184,24.430545749077773,2.0301109287891735e-14,0.06369675457128729,0.10871136081722037,0.17021112147949738,0.2663673927073069,0.4057037787770038,0.5862071924088745
AF6VJYLVYJCQIXUEIBSVKZGRUGVA,4,130,129,129,129,18.408972698885037,1.454297953153809e-14,0.052252849345979464,0.08688231412703673,0.143345205263979,0.23141746630056395,0.3697455465133488,0.5641835448862509
AF6XCN7EPYNIO24FJRNV3KOFI3QA,6,170,169,169,169,18.515338491662796,9.731731858067552e-15,0.0630959534852705,0.10225676810838999,0.16580816694986952,0.2593661264650685,0.3995824856468736,0.5808094831235481
AEKNUVZ54GHK35OSOD3TI75BQDGQ,1,108,107,107,107,16.64400620045796,1.8929667257262644e-14,0.06314819427351684,0.10795232512826443,0.17376034025243958,0.27419859297644705,0.4295551058398834,0.6410897833574207
AEBVIJZLUXIBEZ25ZQLG4SPFVMVQ,5,153,152,152,152,18.257381511171843,1.4166589236228317e-14,0.0549784751772312,0.09613604145747383,0.15540226712908953,0.24609500997862663,0.3871559836477272,0.5718939924948037
AF63GHTZBFUQTJPVNLMYMBCRQRJA,3,123,122,122,122,17.856027340212666,2.233992517835432e-14,0.06688218606667225,0.10813389784251574,0.17137522389945825,0.2725510284865088,0.41669883547141684,0.6120887595196481
AFBOXU6QKQGVJP6M4THIHE66BMCA,5,143,142,142,142,19.132210674655603,1.4458448278211906e-14,0.0652475485989348,0.1030211701442901,0.16734983872536044,0.26758847739608843,0.40923875668241066,0.5931401386874676
AHDPI35VZ3SH2VZVGOYJS52LPVAQ,4,133,132,132,132,17.99533863985739,1.0822856182198489e-14,0.06848894547797621,0.11019893941908124,0.1675813321611832,0.2668132226407521,0.4165401452366594,0.6131201647211015
