uid,seed,K_A,n_unique_rules_A,C_B,C_B_LB,lambda_min_A,tr_A,beta_A,v_A,lambda_min_boot_q05,B_B,c_B
AHIQC6XUZUUFYILUUUWSG6WYVYGA,20260101,25,28,0.8,0.6134936628587425,-1.2520552760923864e-17,0.8933654729109273,-4.484812772583064e-16,0.027917671028466477,-3.4757194533024613e-17,55,0.41466745602860017
AHIQC6XUZUUFYILUUUWSG6WYVYGA,20260202,25,28,0.8,0.6134936628587425,-7.531382620435507e-18,0.9309573002754821,-2.5887787096424294e-16,0.029092415633608815,-4.5132410770271666e-17,55,0.41466745602860017
AHIQC6XUZUUFYILUUUWSG6WYVYGA,20260303,25,28,0.8,0.6134936628587425,-1.4381487429447975e-17,0.9194214876033058,-5.005403984433488e-16,0.028731921487603305,-3.552729047191162e-17,55,0.41466745602860017
AGUSITPDSZNUNRZWBJZNIX3CK77Q,20260101,22,25,0.8301886792452831,0.6448702362084395,-1.529974344754881e-17,0.8415051020408163,-5.818048983116145e-16,0.02629703443877551,-5.061891364305282e-17,53,0.4224189204307512
AGUSITPDSZNUNRZWBJZNIX3CK77Q,20260202,22,25,0.8301886792452831,0.6448702362084395,-2.1751399268631496e-17,0.8674744897959182,-8.023806864452684e-16,0.027108577806122445,-5.182250752282014e-17,53,0.4224189204307512
AGUSITPDSZNUNRZWBJZNIX3CK77Q,20260303,22,25,0.8301886792452831,0.6448702362084395,-3.617937342870312e-17,0.8555867346938775,-1.3531532254678195e-15,0.02673708545918367,-4.763455488550483e-17,53,0.4224189204307512
AFNS5D7Q66EQPPLNEZHXBOUREOTQ,20260101,23,26,0.7647058823529411,0.5653272850383958,-1.3206511169620931e-17,0.8403708910034601,-5.028831459443421e-16,0.026261590343858127,-4.7134822347172684e-17,51,0.4306219954198425
AFNS5D7Q66EQPPLNEZHXBOUREOTQ,20260202,23,26,0.7647058823529411,0.5653272850383958,-1.103866323388738e-17,0.8702692474048441,-4.058941810683933e-16,0.02719591398140138,-5.050475563467399e-17,51,0.4306219954198425
AFNS5D7Q66EQPPLNEZHXBOUREOTQ,20260303,23,26,0.7647058823529411,0.5653272850383958,-1.009815304300753e-17,0.8381812283737022,-3.855262876779304e-16,0.026193163386678195,-4.0200455707719643e-17,51,0.4306219954198425
AEKNPKUKD3NK3ANSAE2HPT2LIW3Q,20260101,17,19,0.8301886792452831,0.6448702362084395,-1.997779981936177e-17,0.8269421487603306,-7.73076563067847e-16,0.02584194214876033,-6.069943814252386e-17,53,0.4224189204307512
AEKNPKUKD3NK3ANSAE2HPT2LIW3Q,20260202,17,19,0.8301886792452831,0.6448702362084395,-2.2497805555767067e-17,0.8637190082644626,-8.335231376129567e-16,0.026991219008264455,-6.666525783424728e-17,53,0.4224189204307512
AEKNPKUKD3NK3ANSAE2HPT2LIW3Q,20260303,17,19,0.8301886792452831,0.6448702362084395,-2.6137834273144375e-17,0.8333057851239665,-1.0037260171141038e-15,0.026040805785123952,-6.186329576979084e-17,53,0.4224189204307512
AEF3D6PGXOSS2P6KUDKVWHVUDSAA,20260101,16,18,0.8703703703703703,0.6962285829063553,-2.7362518987697764e-17,0.8612495550017798,-1.016663059529266e-15,0.02691404859380562,-7.673413755034098e-17,54,0.41848935669256576
AEF3D6PGXOSS2P6KUDKVWHVUDSAA,20260202,16,18,0.8703703703703703,0.6962285829063553,-3.438267233712668e-17,0.8499466002135989,-1.2944878119537774e-15,0.026560831256674966,-7.570466488854205e-17,54,0.41848935669256576
AEF3D6PGXOSS2P6KUDKVWHVUDSAA,20260303,16,18,0.8703703703703703,0.6962285829063553,-2.231981765083928e-17,0.8519045923816302,-8.383968946922866e-16,0.026622018511925943,-6.671484821714729e-17,54,0.41848935669256576
