uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AHWARWFS7J5QIBMJJRHE2XHFNGHQ,50,149,48,49,True,12.034089469741202,0.1258794824380996,0.18696791675737975,0.29386385405829657,0.4567201917635914,0.6699978002932468
AH4WRAMEFPMM2PVRI4QQRCUHOK5Q,50,104,49,49,False,12.06866342285694,0.0860637899373693,0.14543047643243762,0.24000264283423642,0.3889871260394367,0.6065892833294596
AGGHIRS7NROMQU4N6PDJCNH26ZEQ,50,152,48,49,True,12.103568637267673,0.08646016463665152,0.1544513061989258,0.25479812328481416,0.4104016437457251,0.6211681622608725
AHB5KUPK5G3TCAYG5FVU6FZTZNXA,50,170,49,49,False,11.461818515508952,0.0737190719173459,0.1372196992050595,0.24065543846560006,0.39629128808232633,0.6131922112712609
AFGKTVFPZXYS23VORHBJSTSTFAOQ,50,108,48,49,True,13.913807154976322,0.07555950476783871,0.13887617788281137,0.23767013229373288,0.3866462731210795,0.6069158325655056
AH57P62SKJK2C5GQTELAAMKHXNDA,50,129,49,49,False,11.82270795987089,0.0869992179358129,0.15111734124531612,0.2524466076774731,0.41514391718673727,0.637213145006499
AFKBVRDWS2ZPNM6EAEA2GRYRXFPA,50,468,49,49,False,12.40140614313312,0.07712882363437307,0.13990115811334516,0.24277251683203036,0.40390879561395077,0.6146858578018481
AGBE4G65WDC55OINI4OQKENARLJQ,50,131,49,49,False,12.951436671799454,0.08668718959360813,0.1466144210232839,0.2509393758739231,0.40741059743214664,0.632806198059415
AG57XB5NOQK2IQ4V7MX5T4FHH6YQ,50,267,45,49,True,15.111149221299362,0.0837963871048199,0.1545539618831688,0.26185686861264323,0.41982165790248294,0.6431730861375992
AGJHBER7DOTPFKZBFMEC6GQ4H3EQ,50,189,49,49,False,12.977993964241776,0.06657982991631327,0.1279471218940608,0.21332481547762594,0.35509577430970407,0.5809989892032786
AHT3P2X53ERZIBQSEDMVIFGDWVKA,50,167,47,49,True,12.418341746613162,0.07665076729476084,0.14531350965056053,0.24509031571813822,0.40959537379638195,0.6314193677917596
AHKVDRZRDAZVNGYJ4R7H63IGTKQQ,50,110,49,49,False,10.586417852052188,0.0670641503532058,0.12938702418572215,0.22675631061215734,0.3844757025589057,0.6017839602476472
AHW755HALUYCUV4XZ6VN6JN6STRA,50,143,49,49,False,12.015291005395056,0.0760780440469258,0.1359052417469043,0.23508519865699923,0.38483967438645134,0.5956247017667013
AFRWPHO6IL5LW4RGGHBM23HHDMFA,50,157,49,49,False,12.100906138598381,0.07712951634703243,0.127729428772435,0.21784397270626496,0.37254583311112444,0.5927855611163629
AEHH3ZK5OPHYILGVM6NIOAQG7MEQ,50,110,49,49,False,12.563526495152972,0.07321949678273391,0.13160629712450386,0.23300095585940378,0.3955127337644228,0.6300840680277334
AFRIHIMQXJL2HQHYVFBD3CEUL4LA,50,114,49,49,False,12.081248077802973,0.08528887356976954,0.14633607776792557,0.24474124260010452,0.39601833686482424,0.6023668870532893
AE75RQ5THMDYEJUAYOJZHODWFMMQ,50,220,49,49,False,14.304430271339625,0.08989321128345124,0.14452803944756618,0.2410350461921893,0.38624694904154094,0.5977214731309207
AGFXY5HVXFJFJ2SJDGZL5YLGR6RA,50,169,49,49,False,11.448888917076427,0.11552710861586062,0.18480800069258935,0.2976025117524301,0.46949342492266366,0.6836847051741369
AHILECHCGMOAULUWIOLFPV2XTAKA,50,151,49,49,False,13.33222415796315,0.09040649051328835,0.14758702560015163,0.2473281767830664,0.39790236799205003,0.6207001991558457
AH4LDUPSQSGBBAV62MV7JZDD3C3Q,50,357,43,49,True,12.372877382973924,0.09201443418689677,0.15638785484424747,0.2573015775452805,0.41770799809406184,0.6573014120599326
AFBOXU6QKQGVJP6M4THIHE66BMCA,50,143,49,49,False,13.230761357788953,0.09680531223069255,0.15829509879865353,0.2556944847752348,0.4037446048786186,0.618476720938256
