uid_local,n_sents,V_D3,V_P3,rank_Y
1804,100,18,5,32
1805,124,31,10,32
1806,1009,975,794,32
1807,107,21,6,32
1808,101,20,3,32
1809,287,108,59,32
1810,144,47,16,32
1811,205,57,22,32
1812,143,43,17,32
1813,222,97,49,32
1814,125,44,20,32
1815,130,27,7,32
1816,2035,2028,2006,32
1817,148,47,17,32
1818,145,29,6,32
1819,107,35,13,32
1820,358,181,83,32
1821,112,29,12,32
1822,108,26,11,32
1823,110,27,10,32
1824,117,25,5,32
1825,287,114,56,32
1826,558,488,326,32
1827,100,35,11,32
1828,166,28,6,32
1829,237,94,42,32
1830,166,74,32,32
1831,100,20,4,32
1832,108,26,12,32
1833,105,32,8,32
1834,103,30,10,32
1835,110,46,14,32
1836,399,180,98,32
1837,238,104,45,32
1838,126,52,15,32
1839,105,23,4,32
1840,133,57,30,32
1841,118,27,8,32
1842,228,97,34,32
1843,100,35,13,32
1844,130,24,2,32
1845,138,53,16,32
1846,114,29,9,32
1847,107,29,8,32
1848,129,44,18,32
1849,303,128,56,32
1850,110,33,13,32
1851,267,104,47,32
1852,108,51,13,32
1853,289,107,50,32
1854,101,32,10,32
1855,208,77,28,32
1856,102,17,4,32
1857,136,24,3,32
1858,120,42,10,32
1859,421,223,122,32
1860,119,32,13,32
1861,103,24,13,32
1862,114,30,7,32
1863,291,105,49,32
1864,108,35,11,32
1865,111,15,2,32
1866,104,20,14,32
1867,105,30,12,32
1868,105,29,12,32
1869,235,73,33,32
1870,532,423,220,32
1871,134,51,17,32
1872,125,36,7,32
1873,107,42,14,32
1874,147,31,8,32
1875,114,23,3,32
1876,223,86,34,32
1877,139,54,18,32
1878,680,590,361,32
1879,110,33,17,32
1880,145,44,13,32
1881,111,54,17,32
1882,235,71,25,32
1883,370,181,104,32
1884,141,59,15,32
1885,104,28,9,32
1886,116,26,8,32
1887,376,168,90,32
1888,196,70,26,32
1889,187,44,11,32
1890,168,68,19,32
1891,270,102,55,32
1892,176,50,15,32
1893,222,82,28,32
1894,136,38,9,32
1895,388,167,71,32
1896,172,42,13,32
1897,105,19,4,32
1898,114,40,9,32
1899,132,45,18,32
1900,139,37,10,32
1901,198,69,21,32
1902,114,41,13,32
1903,2883,2883,2883,32
1904,146,50,14,32
1905,107,30,14,32
1906,132,35,11,32
1907,113,39,20,32
1908,161,60,20,32
1909,123,58,15,32
1910,160,65,21,32
1911,138,65,26,32
1912,149,67,27,32
1913,435,211,89,32
1914,120,33,12,32
1915,144,40,16,32
1916,167,46,15,32
1917,121,28,7,32
1918,225,98,31,32
1919,262,120,58,32
1920,129,54,24,32
1921,147,69,26,32
1922,112,32,5,32
1923,194,73,22,32
1924,593,514,318,32
1925,192,56,17,32
1926,154,45,19,32
1927,100,47,20,32
1928,147,61,20,32
1929,173,59,23,32
1930,134,28,14,32
1931,301,152,77,32
1932,162,42,11,32
1933,234,88,34,32
1934,102,19,3,32
1935,208,59,23,32
1936,280,128,72,32
1937,104,24,9,32
1938,104,26,6,32
1939,1796,1780,1746,32
1940,301,120,65,32
1941,144,55,20,32
1942,111,20,8,32
1943,172,47,14,32
1944,136,39,12,32
1945,274,137,54,32
1946,110,30,15,32
1947,121,25,2,32
1948,209,82,34,32
1949,104,38,9,32
1950,315,31,15,32
1951,193,81,31,32
1952,101,35,11,32
1953,204,94,34,32
1954,110,35,13,32
1955,114,41,19,32
1956,108,27,17,32
1957,921,864,668,32
1958,128,28,7,32
1959,903,840,694,32
1960,171,53,16,32
1961,123,23,7,32
1962,104,32,8,32
1963,165,50,12,32
1964,184,47,13,32
1965,239,86,31,32
1966,295,168,100,32
1967,172,63,23,32
1968,116,29,8,32
1969,118,20,1,32
1970,117,25,10,32
1971,154,33,13,32
1972,447,403,241,32
1973,132,37,13,32
1974,105,29,7,32
1975,135,28,15,32
1976,169,40,15,32
1977,208,71,30,32
1978,177,70,30,32
1979,177,100,42,32
1980,133,18,5,32
1981,131,35,9,32
1982,260,98,49,32
1983,139,38,8,32
1984,102,27,7,32
1985,201,77,36,32
1986,123,37,13,32
1987,130,39,6,32
1988,117,34,16,32
1989,103,41,13,32
1990,286,99,47,32
1991,101,21,6,32
1992,143,32,11,32
1993,105,35,12,32
1994,128,47,13,32
1995,838,776,566,32
1996,163,42,14,32
1997,168,30,5,32
1998,203,69,26,32
1999,106,32,7,32
2000,101,42,14,32
2001,172,45,13,32
2002,182,66,26,32
2003,154,45,17,32
2004,187,84,23,32
2005,120,42,14,32
2006,1130,1063,865,32
2007,208,69,19,32
2008,128,35,14,32
2009,3308,3308,3308,32
2010,234,74,24,32
2011,152,26,11,32
2012,101,30,5,32
2013,193,75,17,32
2014,312,152,79,32
2015,139,41,13,32
2016,113,31,9,32
2017,167,68,33,32
2018,106,39,12,32
2019,123,33,8,32
2020,136,33,14,32
2021,114,25,8,32
2022,140,36,10,32
2023,101,22,4,32
2024,104,26,7,32
2025,191,81,33,32
2026,164,59,22,32
2027,346,141,70,32
2028,136,40,16,32
2029,504,455,290,32
2030,156,38,18,32
2031,308,155,65,32
2032,977,885,711,32
2033,146,42,17,32
2034,157,40,13,32
2035,107,29,6,32
2036,176,57,17,32
2037,117,24,4,32
2038,118,18,5,32
2039,227,86,36,32
2040,129,36,14,32
2041,257,111,54,32
2042,248,77,28,32
2043,181,83,36,32
2044,124,41,13,32
2045,938,848,612,32
2046,447,409,288,32
2047,127,38,18,32
2048,363,174,78,32
2049,168,56,20,32
2050,108,36,12,32
2051,141,49,28,32
2052,113,35,10,32
2053,291,125,55,32
2054,120,37,12,32
2055,185,53,24,32
2056,297,123,67,32
2057,126,41,11,32
2058,307,152,87,32
2059,1054,946,631,32
2060,110,33,7,32
2061,154,62,24,32
2062,342,220,146,32
2063,158,31,9,32
2064,101,28,9,32
2065,146,31,8,32
2066,111,25,9,32
2067,145,52,18,32
2068,555,471,272,32
2069,159,42,20,32
2070,159,33,14,32
2071,123,29,9,32
2072,120,34,15,32
2073,230,86,38,32
2074,112,26,10,32
2075,313,128,54,32
2076,140,37,9,32
2077,271,123,60,32
2078,129,46,17,32
2079,153,50,24,32
2080,119,25,7,32
2081,143,39,12,32
2082,125,37,13,32
2083,139,50,13,32
2084,177,63,19,32
2085,122,48,20,32
2086,113,29,12,32
2087,124,50,16,32
2088,136,33,6,32
2089,489,422,288,32
2090,189,78,36,32
2091,203,70,20,32
2092,169,41,8,32
2093,123,31,9,32
2094,105,32,10,32
2095,361,200,97,32
2096,109,29,7,32
2097,119,38,11,32
2098,129,39,17,32
2099,136,53,18,32
2100,121,42,21,32
2101,334,171,94,32
2102,224,73,32,32
2103,202,78,25,32
2104,194,66,24,32
2105,133,49,11,32
2106,105,29,9,32
2107,133,49,13,32
2108,200,74,24,32
2109,340,158,89,32
2110,126,29,5,32
2111,816,754,578,32
2112,120,25,7,32
2113,436,266,143,32
2114,119,26,3,32
2115,324,160,93,32
2116,140,34,6,32
2117,142,40,13,32
2118,129,28,8,32
2119,129,30,7,32
2120,124,36,12,32
2121,274,111,54,32
2122,128,30,9,32
2123,100,26,12,32
2124,153,37,7,32
2125,120,39,16,32
2126,921,864,691,32
2127,219,80,28,32
2128,138,64,29,32
2129,149,73,21,32
2130,105,27,9,32
2131,321,161,82,32
2132,105,26,6,32
2133,223,71,27,32
2134,154,71,32,32
2135,100,22,3,32
2136,180,50,14,32
2137,403,204,108,32
2138,157,53,19,32
2139,119,37,15,32
2140,145,54,18,32
2141,129,40,15,32
2142,209,55,17,32
2143,107,27,8,32
2144,161,54,23,32
2145,106,20,6,32
2146,105,35,7,15
2147,102,28,15,32
2148,109,29,12,32
2149,106,41,11,32
2150,138,57,18,32
2151,226,74,30,32
2152,209,81,30,32
2153,118,28,9,32
2154,105,27,11,32
2155,123,46,10,32
2156,104,38,13,32
2157,124,51,22,32
2158,104,29,4,32
2159,203,53,28,32
2160,165,47,14,32
2161,239,78,41,32
2162,119,42,18,32
2163,145,53,15,32
2164,308,143,61,32
2165,111,19,6,32
2166,115,27,7,32
2167,140,40,14,32
2168,114,25,6,32
2169,171,68,21,32
2170,147,44,12,32
2171,231,85,30,32
2172,164,39,11,32
2173,124,45,14,32
2174,124,23,11,32
2175,132,44,16,32
2176,242,90,42,32
2177,142,60,17,32
2178,245,120,58,32
2179,105,36,9,32
2180,136,38,6,32
2181,119,32,17,32
2182,366,184,106,32
2183,182,91,37,32
2184,119,30,7,32
2185,132,45,12,32
2186,134,47,18,32
2187,113,55,24,32
2188,187,50,16,32
2189,118,32,8,32
2190,140,48,21,32
