uid,x_12_NLL_test,x_12_avg_mahalanobis_score,x_12_cov_stability_frob,x_12_cov_stability_normalized,x_12_intra_spread,x_12_kappa_profile,x_12_lambda_min_profile,x_12_mu_p_norm,x_12_n_profile,x_12_n_test,x_16_NLL_test,x_16_avg_mahalanobis_score,x_16_cov_stability_frob,x_16_cov_stability_normalized,x_16_intra_spread,x_16_kappa_profile,x_16_lambda_min_profile,x_16_mu_p_norm,x_16_n_profile,x_16_n_test,x_4_NLL_test,x_4_avg_mahalanobis_score,x_4_cov_stability_frob,x_4_cov_stability_normalized,x_4_intra_spread,x_4_kappa_profile,x_4_lambda_min_profile,x_4_mu_p_norm,x_4_n_profile,x_4_n_test,x_8_NLL_test,x_8_avg_mahalanobis_score,x_8_cov_stability_frob,x_8_cov_stability_normalized,x_8_intra_spread,x_8_kappa_profile,x_8_lambda_min_profile,x_8_mu_p_norm,x_8_n_profile,x_8_n_test
AGJRXFVZAQM4Z5DYKNOKK5WF6F7Q,6.187441771623094,-13.976553119529141,1.122727387839077,0.8389619768025829,3.3192141666195845,3461.225747777333,0.0036608401776825478,6.950036318662245,295,271,3.4522111430677813,-18.545142842586795,1.1531242809473095,0.8641774933523236,3.752436732708258,11849.045573464675,0.0013613736463694976,6.930407395302116,295,271,5.695096028221444,-4.317222034846312,0.36680454803624046,0.8590340872228891,1.9712283689859273,11.841864662531794,0.3805878233763205,5.152495860480856,295,271,7.173063978913899,-8.280357572846,1.2585514006522793,0.8171340348658391,3.270991484250012,3929.406928000699,0.0031937682072276665,6.9619561295316315,295,271
AGJY27POQVYKPEBOBRR5FKI3NS5A,9.17887913874647,-13.56337758881262,2.901261592982152,0.8138997178746584,4.72504152427223,4560.119090159826,0.005834365109505505,5.664393935749504,154,148,7.061268661955665,-15.905570331276902,4.741177016626911,0.7581677871622632,5.414008874142287,15645.217787574149,0.0022002030298109037,5.998317642972998,154,148,7.037195513355965,-4.064218345779713,1.5547214062733519,0.8018759789146022,3.123552559117719,17.05635044831168,0.6908297375911592,4.358084982519502,154,148,9.04341068683318,-7.379163793518653,3.619016599879119,0.7872588943445928,4.686208328533125,4903.219291220973,0.005439594345523425,5.87408126226931,154,148
AGK6P7T6FVUJW7W7Q5UJKJWF3NGA,8.915768314016143,-17.376398881204157,4.519528785100924,0.3906664474723526,3.5527256873809274,3664.543112690009,0.0038998629120529523,6.231947608774797,153,154,6.4265970337980916,-19.4853301343658,3.4716092437755353,0.6127644305164948,4.069366161773425,9230.476049342671,0.0020248708106176817,6.364392196144169,153,154,6.558160609735298,-4.7214607077722,0.9257526402819496,0.7473560652165325,2.275921753263889,10.592430637800247,0.5939586509734787,4.854791311387827,153,154,8.838071713353555,-10.09495935722497,3.5011370017947554,0.5325698296381428,3.4911998356121816,4812.146056762095,0.002960019749446177,6.482067244631267,153,154
AGK7DEPABLFQZEYK6ZY4MD7EW53Q,8.321471730759487,-13.110696130542111,2.5793819135534037,0.829196707562796,4.406266107544908,4263.099008240183,0.005722447576887172,5.687608802179359,184,194,7.002023373230028,-18.896153424590906,3.9078655585068574,0.7653307355859983,4.7591224039168125,15457.23596465047,0.0018221329224071185,5.622410824688278,184,194,6.712993600014874,-4.025889090312985,1.2373222860201984,0.8071851055431241,2.7676127231152283,14.741022410399172,0.6512268789682345,4.30816715976539,184,194,8.706305824288046,-8.553683646913983,2.44441731511767,0.8443535271899829,4.366348725954829,7083.638352803809,0.003431792791643748,5.723714346473107,184,194
AGK7LQIMYOFD5UR6JTJYQNQHIP4Q,6.892639591642721,-13.796612983317168,3.4480739737782007,0.6089124455858659,3.6272632380469725,4640.665271485326,0.0034733499251494025,5.812660231495092,99,91,4.597590313078125,-18.56683474548064,3.707198062913217,0.6278791953797775,4.024827557010034,18618.065140730465,0.0010701723852208065,5.912317914815448,99,91,6.11994990903567,-3.6842256681687013,1.4965496404557594,0.5859064272306944,2.2695878930039486,9.9508088868903,0.642115722635482,4.552520628556028,99,91,7.343168845980886,-7.898779192815193,2.7452344453930864,0.638692673924435,3.355834836890751,4760.113246029948,0.0029663812963847897,5.771856237170802,99,91
AGKBFSXT5MSPV2DLOXJ52CES22EA,5.839124516036423,-13.007770668628956,0.6155738858060031,0.9054322507673849,3.3371626152801555,3417.8017477119174,0.0036940300727007274,6.833209944110207,352,304,3.069102448784571,-15.82785546695284,1.0950207897768294,0.873240249096326,3.9453792009262783,12657.793182704558,0.0013689623900299906,6.847250045050512,352,304,5.923212823826994,-4.507957142694841,0.40063483165077163,0.857402812205881,2.0573991749432126,9.809489682839304,0.49277794985802537,5.055673809787937,352,304,7.2426513213161545,-8.605207151957753,0.7748043198082087,0.867830110132504,3.1553916777932964,4079.8590316634027,0.002799958168170961,6.697694168510978,352,304
AGKSE7R54LFVQ4E3VXSTOX2H7B2A,8.476540106078936,-13.024585294347613,3.466378990353138,0.7505880925767954,4.517767726005235,4583.550135076106,0.005225603641823641,6.071647234485299,259,270,7.325881226800099,-18.648220057300836,4.613972228448335,0.7359751243240229,5.112985072867025,15680.931755342961,0.001952254759491985,6.178992378920516,259,270,6.9204018957237485,-4.4420256193033,1.6080359331511997,0.7589328501479607,2.829982220764272,13.012876240702811,0.7505490851918541,4.504970722190923,259,270,8.990532116877151,-8.374857798126977,2.3214985095156098,0.8277996473688713,4.308286328959441,5810.085085518935,0.0038345195254587965,6.149311536851331,259,270
AGKYAPJAIV6AKVK7MUVYNQB2RRNA,9.9881681380046,-12.574036224173156,1.5100231269710536,0.9345430216923665,5.500124014520203,6053.697799194274,0.005991430207864939,6.898907474179735,501,538,8.277007328643357,-15.780981295496213,2.3004735275396255,0.9168506676307353,6.190179617493343,19480.20145882089,0.0023184611091875583,7.261146456558533,501,538,7.383751596169043,-3.970978646244643,0.8359093120096508,0.9227463488561917,3.604133919654397,17.614396871537522,0.8844319509892377,5.050134175638996,501,538,9.948324673535966,-7.615020282403109,2.2241471952968674,0.9091498137644768,5.491649680723323,6615.665306787546,0.005587032884254833,7.143671776927596,501,538
AGLGVDWNM5KVHS3PBM5HX464YVGA,7.68926587424949,-12.077591878497756,1.4970296415540567,0.8816064002212304,4.361537545727842,3947.472625315391,0.005431375440079887,6.0995708359092555,309,305,5.761002032025958,-16.478191377630438,2.2778771798001047,0.8682866131780548,5.067544175153532,15620.25031183327,0.0018632615905365283,6.068565040679298,309,305,6.497163522348661,-3.554576676788656,0.5673668916147298,0.9177353533684323,2.9527747826014483,13.688059128258686,0.729930354582428,4.6121658979705575,309,305,8.226453973810674,-7.856539530044391,1.515294668266642,0.87433721055441,4.208009137006223,4575.1998278112105,0.0044021191966783614,5.905760208514267,309,305
AGLI2MZXMBJZN2LUL3A23ATGMRPA,8.62120797995047,-14.6845849105969,3.2344793538275787,0.7228548480510925,4.055363785079695,4216.608626187512,0.004818309720813453,6.650077217518446,191,193,7.19461584498172,-19.75902638355358,4.897521965556402,0.634333858490798,4.508124709382589,14537.955420099446,0.0017105840503791679,6.623330164918962,191,193,6.923156554056321,-4.764145421939892,1.2413969251553103,0.7540734661659734,2.480978838677795,10.790489689051594,0.7432472395781469,5.135816435581456,191,193,9.082308857841316,-9.421481997715194,3.613242200454882,0.6918104319570832,3.931525598151386,4767.843383288299,0.0041110740383364566,6.542961464797317,191,193
