uid,V_u_A,n_A,n_B,chi_hat_B,chi_ub_B,C_B_LB
AEE3T6A7BRUSROQJ3OXHFXVJINSQ,22,57,53,0.15021770682148042,0.48965911864356326,0.6911218122404608
AFJQ7PUOS5R665KP35G6XAQJ7OOA,18,91,99,0.1370851370851371,0.3843449060283207,0.6994629030844454
AHLERJU22LDSKSBOBPFQSQDZ6UVQ,21,50,51,0.14431372549019608,0.49047740201065315,0.6326842387742619
AFULMP5FW2Q3ONUCFOKVURLJNWSA,19,73,76,0.2150877192982456,0.4958635370432362,0.7266912370439268
AHUWQT5AKAF6WGOBNGDXSH5QLBXQ,26,100,92,0.16196846631629241,0.41716371439602856,0.7990941652759639
AG3AOFIHO3UGRYIVDWWB4VQQXZRQ,29,88,82,0.1583860283047275,0.4286944462616791,0.7149453447474956
AFJWF2QUDYVVTT5Q6UTEBR5SNENQ,36,147,121,0.18154269972451792,0.4049903920954615,0.7504442259298365
AGNWFBNXATPJXGLZ24PZ42I47Q6A,35,139,149,0.1436604389624524,0.34486398903436444,0.7624352524539011
AHID5S4JG4RV2QIELUKZX4VYTJ3Q,23,81,89,0.1404494382022472,0.4013801270814098,0.7355922142325941
AFPM4D74WWLFUJC7UGYUBK5FY4KQ,34,143,135,0.10934217799889441,0.3207952980830945,0.7135238850919079
AEF2IJS3DKNREFZSMNYOEP2IHQCQ,20,59,58,0.147005444646098,0.4684103495264873,0.5724451086946694
AGPWOAP6AQMZBGXGAMONUTG6MUPQ,19,51,57,0.15162907268170425,0.47872300160918213,0.5279666876087183
AFAULPBMUOOX3XXRPXYWEN5MFTLA,23,66,59,0.13793103448275862,0.4593359393631479,0.813128071136272
AF5QVEMAHL2ZN7BTEQ2QXX6HJSMA,67,416,423,0.13002364066193853,0.24917809205585725,0.850538899101281
AHIROBPKOELF4WANNKCEDAKVRW2Q,30,94,117,0.09917477158856469,0.3264423593361052,0.732309956592881
AGV7MJIYWVS7UVMOHQW5FYIEQC3A,35,160,160,0.12586477987421385,0.31937615788446133,0.8159738133036913
AE2A3YEXH2AZOBNQ5EV2OYZXTEXA,18,61,48,0.18882978723404256,0.5421316101344482,0.6889832581262322
AEX7XGYOI6YZR2LS63EGJPXVXODA,27,65,63,0.1817716333845366,0.49263579174531413,0.7781137699062645
AF6AT6CU75HFF3TWERXKIRKE4VNA,15,50,61,0.19726775956284154,0.5132705165948012,0.7068991177410002
AHKXLKWJKWHMQMPU6IOKT7V7X4XQ,34,102,75,0.12864864864864864,0.4131934379579608,0.6286905822814648
AG6WVGUFXMF4LIAR7IDGHQV2DI5Q,17,49,66,0.16083916083916083,0.46213596776759885,0.551181474480534
AGOCGNCMX5ERMMXJUYIWEVHJLA5Q,21,84,80,0.1860759493670886,0.4597423646226873,0.6495605062054225
AGQ3W32M4PSLHXUBYGJUKRLME5SA,18,61,60,0.18587570621468927,0.5018784632466489,0.6419685209161736
AH4YB5ZEFH665NEW5CYWR3IRP5GQ,21,62,59,0.14260666277030976,0.46401156765069906,0.5600866405542735
AGXFF2FNG5W6EJP6H55EDLIC26BA,19,66,74,0.1480932987782303,0.43263808808754245,0.6396027652906691
AGYNSON76GT77CALAB2ZU5ZUVUSQ,33,81,91,0.10695970695970695,0.36497487764003694,0.7142344366444231
AHNUSETJLQ6B2XVIZ6K46HQ7LKDQ,25,59,44,0.15961945031712474,0.528631169369391,0.5570410947782973
AH2OU52CNFVSHVSDFK6TJLWCMDFQ,28,64,59,0.13676212741087085,0.45816703229126016,0.5976975571345595
AHOB6DWWDUHGACMKP2SXX5GHTXDA,37,121,121,0.15826446280991735,0.381712155180861,0.692355093646648
AHZQJGJ6VCSHEZ2WA3YKZVGR5IDQ,44,163,150,0.134496644295302,0.3343543361180584,0.7403941460207673
AFXXNBWCNHQALN6XKWC7Z2JMIKLA,20,60,44,0.12050739957716702,0.4895191186294333,0.48364709218848323
AGSIU3JOYC6CJLFFB7APDN3UGSHQ,44,291,317,0.1643972367527852,0.30209375393923554,0.8390434597777295
AE46WE4VZX7X436KTCVZCWXQ3VGQ,17,59,55,0.13602693602693602,0.46912308906486344,0.49434426168028306
AF7KGSYOWNJXJ43I5M6XQERPV3XQ,24,95,86,0.12065663474692202,0.38460396359916166,0.631893327701744
AENO3TJLMOSK43CIXEGYJWRYAMGA,21,70,67,0.1483491632745364,0.4496459702029744,0.5732415229318435
AFV7LKHKY7TF3GKWLEBIWI47JSDA,50,240,303,0.10145782790199549,0.24230983030106595,0.8202530292154302
