uid,bucket,n_sents,V_u,x_max,x_4_lam_min_med,x_8_lam_min_med,x_12_lam_min_med,x_16_lam_min_med,x_20_lam_min_med,x_24_lam_min_med,x_28_lam_min_med,x_32_lam_min_med,x_40_lam_min_med,x_48_lam_min_med,x_64_lam_min_med
AHXFDISHJCHQZRESFA3SIAR6GVMA,1,107,25,24,0.10753011709304201,0.015275336758275517,0.007211416039944122,0.0015938489703404412,0.000603766507481249,4.2034736214676846e-06,-1.1213006202657047e-17,-1.8519966839861155e-17,-3.5098065900397896e-17,-3.7405062875113975e-17,-3.765147252005166e-17
AHNNHOY7YG6U7QQYTUAJKPHF2NHA,1,107,17,16,0.053557128063797366,0.013140458971026805,0.0016473672727756357,3.854720145770979e-05,-2.0498259809373222e-17,-2.7292392873492756e-17,-2.5644750081304964e-17,-2.2774866416698873e-17,-5.497197383682826e-17,-5.1969271117025716e-17,-5.0196950920175753e-17
AF35KUQK45LLCSVCNP7SWL7THESA,1,109,22,20,0.06931209303806286,0.010204554773755346,0.007293354704260034,0.0011002312847126089,3.285895222430581e-05,-7.94078180435784e-18,-1.1480626815996623e-17,-2.069416908892656e-17,-3.213446954896824e-17,-4.0979824606672027e-17,-4.0845574216125327e-17
AHV4U76XGHXA4RBBXSPEENTVH2YQ,1,107,22,20,0.10165949802384461,0.01616854339920825,0.004650656483639229,0.0017774469444319294,1.5327142895184317e-05,-7.162701010032284e-18,-1.55990951569405e-17,-1.7431506477937985e-17,-3.216210429779666e-17,-3.512156500755576e-17,-3.327760606612674e-17
AGBCUH6OF5SMVV6ED5G66Q4QWI4Q,1,111,14,12,0.06189615455158201,0.002921520303023654,9.824843406702057e-05,-1.2165184010940266e-17,-1.4211239655223814e-17,-2.350665505846867e-17,-3.030550111094072e-17,-2.8050870390941714e-17,-4.642738236635106e-17,-6.719152223267642e-17,-4.7792640820128e-17
AGQNPHVDHICIZIBMSI3ECYO4RTDA,1,111,18,16,0.07949976754277491,0.01756219716839462,0.0032457018363688975,0.00021996622804114623,-6.488617219512835e-18,-2.4650870019299878e-17,-2.669324735930975e-17,-2.977714491971916e-17,-3.594573816764632e-17,-5.104094863158524e-17,-5.2752656333852096e-17
AFPT7MUXVAM4NE4IKGKSXS6G3AOQ,1,108,23,20,0.10288582297621202,0.01795500673878939,0.004964143845743991,0.0012960424265905316,9.524416413861263e-05,-3.1242025025401092e-18,-1.0064605307781842e-17,-1.3069443734873514e-17,-3.3425390908224145e-17,-3.612267561170715e-17,-4.0941599632284317e-17
AELR4ZISE4URDI56E3XVN7AP422A,1,109,19,16,0.06210516683335008,0.012040491710444003,0.002011968212976055,0.00016597086990554559,-1.0772315994739538e-18,-1.1181366629277368e-17,-2.031789004530132e-17,-1.723586476999269e-17,-3.7520977054790035e-17,-3.919143690572659e-17,-4.3330558567274236e-17
AFAFPVBZWY74XHOKAX7AYGC77YUQ,1,108,21,20,0.07484105952434282,0.013221050624982956,0.003273687973192767,0.0006346309114136633,2.0068141816225814e-05,-9.365550960617963e-18,-2.000281767328751e-17,-2.0286040692960392e-17,-3.5830091679838323e-17,-4.0449526862994876e-17,-4.706079534594753e-17
AGVM37ENJ7TA4BJ4LRWQKQPMH64Q,1,109,22,20,0.09249559237309521,0.01561165835942744,0.004637141730360533,0.0009608498738907957,3.510510853925843e-05,-5.038029482879847e-18,-2.0611342856678277e-17,-2.398259059825314e-17,-3.414534564571716e-17,-3.6148758271437724e-17,-4.009210100323364e-17
AFWZ7MZXTZ4GG6AP2LLNEOTBDA7Q,1,107,25,24,0.08044080005591117,0.018298805783701244,0.00599256590643933,0.0019757530543932176,0.000555757504900184,2.477772656580132e-05,-1.3344481562004984e-17,-1.643553647523894e-17,-4.390669999189141e-17,-3.5335512224915043e-17,-5.875904750277843e-17
AGE6JTC6BUGXNMZONP632XOJH2NA,1,109,22,20,0.09851451568826214,0.01426452887296477,0.005139910890395431,0.0008889524723687994,0.00027887899141305905,-1.1663565494149647e-17,-1.672809858235311e-17,-1.6822944816818046e-17,-3.362030381629705e-17,-3.4936025491452284e-17,-3.586281679752e-17
AH4IDFVWP6NCHZFCONC4EKN63YUQ,1,107,19,16,0.06354872869572248,0.014100404787123513,0.002831895980578835,0.00016964460971496693,-6.003937554105893e-18,-1.7338705136693618e-17,-2.3057368210040326e-17,-2.0335625646807317e-17,-4.2970301417600494e-17,-6.184792514616021e-17,-6.146247183912265e-17
AFP4XV2TPIF2DYR7MDS3ABENVU4A,1,106,22,20,0.06010979970139829,0.016001899637999802,0.005205942555680096,0.0009161398969752267,1.7564662137911215e-05,-1.3688801994316143e-17,-1.917993620704004e-17,-2.5556499665114517e-17,-3.773066643376376e-17,-3.587888617195535e-17,-6.106314197610387e-17
AFIYJLRZHK7C4B5QSZAGSGZVVAJA,1,106,14,12,0.08242486031381777,0.007242020305727184,4.621815999897451e-05,-1.102684735994723e-17,-2.2575220716842307e-17,-2.811947396654695e-17,-2.1275942590156886e-17,-2.419593114674493e-17,-4.838233728374757e-17,-4.764822194705488e-17,-4.81141020815894e-17
AHQWSREBML5RH7GZCFX6L57DDMHQ,1,109,23,20,0.0582718406786877,0.020521890761550043,0.004959906097410459,0.0013924232788710962,0.000277075585534322,-2.742383769981078e-18,-1.4407155698759792e-17,-1.767624208079343e-17,-3.658605970370112e-17,-5.331743309918486e-17,-4.1062001951980627e-17
AE6G64ZJUAFLSNHPZSGGEEKYTFGQ,2,119,19,16,0.078240155240232,0.013069944946056426,0.002439759167970663,0.0007479697880871523,-1.21999932434868e-17,-1.682504845323068e-17,-2.7715287992082535e-17,-2.3325096495263783e-17,-5.236307471279828e-17,-4.992642758031029e-17,-3.998949653309865e-17
AGLDJAFXAECQPHKDFOYDLI42RKDA,2,114,16,12,0.061064431235625306,0.007635580966649011,0.0025545685198929513,1.0108571352715746e-17,-2.1717767186475914e-17,-2.4948551046970767e-17,-2.283034555722975e-17,-2.6062172980243945e-17,-4.70637345216339e-17,-4.679197255835041e-17,-5.19322754833314e-17
AE2662WNZYL2ZMFHDKGGCCHMGMGQ,2,114,19,16,0.058970564122465444,0.017330389534819964,0.0031084981595463287,0.00032256643563252234,-1.2048772100761552e-17,-1.0680113766563364e-17,-8.704192277767502e-18,-3.4148436495181614e-17,-4.873473565069096e-17,-3.838816894562801e-17,-4.8349326501405845e-17
AHHBH4VPAVBILY6UAS4LQVX2ZTKA,2,119,27,24,0.0831425911769127,0.020717285760466234,0.007721943625792327,0.003107402462865392,0.0009349614888607497,0.0005009354057091808,-4.7629787117086986e-18,-1.1435823480787332e-17,-2.807877648711714e-17,-3.292313697673935e-17,-3.522686304871909e-17
AHWAVTDTHEKLCOWMFZ2MCLGVYZUA,2,113,21,20,0.08047939149085291,0.017872837585513734,0.004163249921911509,0.0010463421824575532,4.878245579736403e-06,-7.905635628497373e-18,-1.4121615386396762e-17,-1.2207292508711085e-17,-3.9572472135900066e-17,-3.970044742724673e-17,-3.979443579997062e-17
AET3GRVVMHEXRXTSBFFWSY3HQEMQ,2,112,14,12,0.060552816413420515,0.01041689212252111,0.00027897973036669404,-1.6866793988963072e-17,-2.0004013045326414e-17,-2.4630570837007547e-17,-4.836729159118606e-17,-3.6645195900749797e-17,-4.3579964883224246e-17,-5.3615628653821377e-17,-5.988248944323523e-17
AEUNI3OFLTJG7LZNVHXLKXSOLO7A,2,112,14,12,0.04297974685016153,0.006111459520106259,0.00015406727998515572,-4.4032631622586424e-18,-3.4130125672713156e-17,-3.4345701991654005e-17,-2.3183664205787658e-17,-4.014408056905009e-17,-4.779128954122336e-17,-5.308341400511379e-17,-5.956637544471428e-17
AGQE2TFMRL2MM6S3JAMA4GXWYQLA,2,115,17,16,0.057445829205480366,0.006773371622889514,0.001011733507551459,1.6226061687805837e-05,-1.794424613957442e-17,-2.0272794634704282e-17,-2.233044939885451e-17,-2.4656265158533263e-17,-4.144158860460573e-17,-5.955822769237342e-17,-4.892972690043409e-17
AF4CNAUOROUP6WQEHMP7DWVB3KFQ,2,119,20,16,0.07999852226748362,0.015054300699020043,0.003043186298903417,0.0006327720778407875,-3.236955944556828e-18,-1.786088335551316e-17,-4.9110920105285683e-17,-1.8756761081377277e-17,-4.124685721984482e-17,-4.749895094280875e-17,-3.915035284306704e-17
