uid,x_16_KS_stat,x_16_NLL_test,x_16_kappa,x_16_lambda_min,x_16_n_profile,x_16_n_test,x_16_tr,x_20_KS_stat,x_20_NLL_test,x_20_kappa,x_20_lambda_min,x_20_n_profile,x_20_n_test,x_20_tr,x_24_KS_stat,x_24_NLL_test,x_24_kappa,x_24_lambda_min,x_24_n_profile,x_24_n_test,x_24_tr,x_28_KS_stat,x_28_NLL_test,x_28_kappa,x_28_lambda_min,x_28_n_profile,x_28_n_test,x_28_tr,x_32_KS_stat,x_32_NLL_test,x_32_kappa,x_32_lambda_min,x_32_n_profile,x_32_n_test,x_32_tr
AE6JXZ2HEEC3RLKQ23MI2JSCXSNA,0.05406291693366794,-1.092285164546348,931.7635772873065,0.00785034372611446,211,286,7.314664353179372,0.05405478357802873,-5.181676600985671,1459.3499269890892,0.005034135602094928,211,286,7.346565423370408,0.05416242435898744,-9.71596510604638,2129.0004745467213,0.003460302966309455,211,286,7.366986657348257,0.05409416388548727,-15.294210636873714,4201.480076344613,0.001756451435014251,211,286,7.3796957092792805,0.054112368923397436,-21.409289162627903,6228.702671489985,0.0011861722046309605,211,286,7.388313979832028
AE6PSXRFBXPR4AHQKR2TQC56EKKQ,0.06318127319474653,-0.6072383246057569,787.7108902465814,0.008839431586379445,508,550,6.962916524180703,0.0631520891537446,-4.444454543909808,1269.4255572471811,0.005509830681002569,508,550,6.994319882569302,0.06329564941352117,-9.025273629623072,1678.8400907318476,0.004179186580363634,508,550,7.016185977763004,0.06332319548255982,-14.601559418757775,2834.642757890812,0.0024799054602705067,508,550,7.029646053209673,0.06329904410595377,-20.777687852968445,4610.781754609872,0.001526497598551462,508,550,7.038347275856866
AE6WU4SFOAVPE7A33RAHPQGCKR4A,0.11908359081088937,0.4860594456635537,1126.5409532181122,0.005043680259639593,101,112,5.681912367421763,0.11893533817596857,-3.034814718926316,1740.1435011146098,0.0032842809005217987,101,112,5.715120064877846,0.11887272259193371,-6.406049908683751,2665.3971997871213,0.0021516419553187765,101,112,5.734980442651153,0.11876637706587445,-10.683076108938971,4322.503544944967,0.0013296393082180924,101,112,5.7473706232708786,0.11879170328825617,-15.046612506173322,7982.731935908897,0.0007209037017891414,101,112,5.754781002987123
AE7QX327FYG2YS4OL27GBQABRRDQ,0.08060966030135619,-0.6747942709781233,898.8349637836034,0.007957901334648193,215,189,7.152839957921997,0.08034479516314291,-4.467301050242784,1876.3847113632742,0.003827010153206137,215,189,7.1809433417080175,0.08035265269864678,-8.752644007995418,2393.97776841176,0.0030082717175287897,215,189,7.201735613105783,0.08035461396999383,-14.3212100939917,3532.7597985740335,0.0020421409491851363,215,189,7.214393448303068,0.08029935309563213,-20.512477827482137,5604.596019682406,0.0012887488148393624,215,189,7.222916478019108
AE7WDJBLIDV4PZNMNQ6E2ASAVUHQ,0.06743203396401108,-0.05854131287375106,1186.9245789240697,0.007576265353496017,213,255,8.992455564515277,0.06739127994001369,-3.9253638843235064,1837.9250873097785,0.004909897916275353,213,255,9.024024556452478,0.06747207906308815,-8.125251443046494,2766.5376031558803,0.0032702694780051595,213,255,9.047323483354226,0.06747059664993614,-13.6857913642057,4941.329825470379,0.0018332685454617137,213,255,9.058784541786665,0.06744842037153818,-19.79130266438697,7269.36712788392,0.001247352413048737,213,255,9.067462628303176
AEAYK5TRLFC5J5MMW2VZ5UOVYJUA,0.10546216632273664,-0.3151474581043795,982.5635630827611,0.007514538742620786,188,158,7.383511961872931,0.10547189543049429,-4.098685604606118,1673.1602314067059,0.004433225332241657,188,158,7.417496322771521,0.1054825403798933,-8.249530282305432,2456.8455481144765,0.0030284554536444347,188,158,7.440447298949337,0.10548812038719718,-13.557361342787525,3877.247532141031,0.0019223199970195269,188,158,7.453310464429315,0.10547579701423287,-19.27574549322964,7357.567467706711,0.0010142523779949767,188,158,7.46243030038001
AEB2KGGJANOW27FHME4SJ3IIFGIA,0.10491256067938848,2.3287852781674045,2109.672278418684,0.008564184233672209,128,138,18.06762206504862,0.10494479778695132,-0.3333768192200673,4243.62873614346,0.00426708312343027,128,138,18.107916562101483,0.10501231800935812,-3.9521616953055596,5775.859390907164,0.003139752229379116,128,138,18.134767399181072,0.10501200599500626,-8.534307575622865,12132.743934361302,0.0014958279037466538,128,138,18.148496926030596,0.10500308068248199,-13.378024801613835,16416.281832663535,0.0011062128703004934,128,138,18.159902245772575
AEB45G7B26CZ6NV5SNZKP5MZBWIQ,0.43272830250451966,3.3178817156437197,11134.528360026748,0.0058290929557561055,145,112,64.9042008290985,0.43273876113632337,0.2711904653336508,19638.70685977631,0.00330691872807339,145,112,64.94360750973763,0.43268784957022455,-3.678786411719984,25435.673074896848,0.002554337411541163,145,112,64.97129132293927,0.4326829971357731,-7.624769792349374,44174.19344121202,0.001471107834443135,145,112,64.98500205157355,0.43267879323511327,-12.566441104849275,83731.80528060152,0.0007762046766239069,145,112,64.99301884096525
AEBD4EQFW4THUDUVAETCYTEDJU6Q,0.058024542388769196,0.9708221210016138,938.1449910621051,0.009700050589042561,223,244,9.1000538731593,0.05803194665635336,-2.6848149982866536,1457.9099750064977,0.0062668991851667095,223,244,9.136574834414638,0.05807599183388368,-6.847224418541556,2108.0772674303244,0.004347887327942323,223,244,9.165682437383587,0.058079473425864725,-12.014107673819888,3476.900079549383,0.0026409267519029336,223,244,9.182238433775403,0.05810994558974003,-17.795350274508536,6032.791432958107,0.0015238523953536038,223,244,9.193083675781912
AEBEMOA4RWLGGTJNMNXBX5DT4CPQ,0.05295149705537783,0.10863954157243659,1094.8991980524986,0.005062812298844572,103,120,5.543269125895249,0.05278905625151309,-3.3002059581107104,1318.9173432224443,0.004224972017307642,103,120,5.572388868256566,0.05273517993591992,-7.058710166770769,1858.1579176190348,0.003011106302799429,103,120,5.595111017339338,0.05266984648039086,-11.436130404305894,4974.409163275476,0.0011269780265619324,103,120,5.60604982213979,0.05264637097709368,-16.189621338421443,8245.98412396619,0.0006807933953826704,103,120,5.6138115300265365
