uid,user_idx,n_profile,n_test,intra_spread,inter_user_dist,separation_ratio,mu_p_norm,mahalanobis_test,lambda_min_profile,trace_profile,cond_med,det_ratio,kappa_profile
AH736FR3FOS2Y64G5QQQ6JPPKAUA,50,19,1,3.4397659301757812,5.365124567590579,1.5597353647015182,4.599307060241699,8.007864282176337,0.08926585489178843,14.60182692708969,0.9581776847635879,0.9533019764359862,10.733977576589934
AHGDVTFSAAIENYAIAZWJG427I3EA,51,19,1,2.367231607437134,3.9739291619772863,1.6787242741658186,2.599794626235962,5.814686864577194,0.1367865433466772,6.38599749531746,0.5483017366290205,0.9043135076689236,4.008447930725049
AGOTQJS3QBTH2PNPRLVQSQ4ZVPSA,52,19,1,2.781259298324585,4.467117198789962,1.6061491287349328,3.5303900241851807,21.513576549665913,0.08137785378899993,9.019011251735687,0.6528208241299289,0.9845429854000803,8.022094387283687
AFDM5JSC54MIFFQ36LONQJMWI3XQ,53,19,1,2.3727550506591797,4.826120292297517,2.0339732459769766,3.7931413650512695,61.273773440521005,0.04532535664418761,6.572848129701615,0.46148440764270393,0.9443020733306837,10.181594626280416
AGXO3CPYK7TUTKH4BTVJD2DX43HQ,54,19,1,2.8770124912261963,5.232410267145947,1.8186957071277328,4.338707447052002,14.685503873047557,0.12475829371371457,10.458721612024306,0.5871691669198197,1.114473244044956,4.706453971446651
AEEX3WVJK5TGMRJ43V7IOI63JOFA,55,19,1,2.1745877265930176,3.6515635625280516,1.6791980925271983,2.5950732231140137,17.310376995611662,0.06023457646126144,5.429640830469131,0.36955942925086827,1.0407931151514085,6.1353370599118
AHG5KKQMMZJA46LDH73IZ4QUHYXA,56,19,1,2.3991034030914307,3.8754634760846995,1.6153799253049554,2.5332705974578857,12.567635420037622,0.07654966134994325,6.861382772874832,0.5060552648497785,0.955602313268104,6.610809975192055
AHAVFW4GL3ZT2A6PDDDJSJJ5GY5A,57,19,1,3.3534553050994873,4.251954801154859,1.2679324500580205,2.5975141525268555,6.861586026857452,0.04981876655142371,14.025986453723908,0.5050176716181014,1.241863110393776,10.137097053513243
AGTGHYRTZXKX4AIL42A3FKWR7SOQ,58,19,1,2.288712739944458,3.893674667435463,1.7012509256753445,2.798476457595825,12.976303784270934,0.1455202796660396,6.709704094505311,0.5020420316037875,1.0407581926700005,3.4499798430565427
AHESUURQOOLW6WCO5JVH34XXQ4VQ,59,19,1,3.9793596267700195,4.147791530146743,1.0423263839346526,2.9134573936462402,22.0816746109635,0.12626453588034514,20.39264671564102,0.848559301737724,1.0784307720572712,6.720488027943674
AHKIOQRM2H4FEMS5PI7J5RMPJKQA,60,19,1,2.782280683517456,4.272557971453426,1.53563154025564,3.320326805114746,11.514931427025937,0.11075989140920754,9.450964421176911,0.6777605068014559,0.9331396847067994,6.119187173066452
AEVVEYZF4MQDPC2BY2HBBNGZRYHA,61,19,1,2.939767599105835,4.868898418214586,1.6562188180098043,4.063562870025635,26.22759320273044,0.0913643762185021,10.3945616147995,0.42894378019253726,1.2073885228508223,4.694869028238079
AERA2QF2GEAJIAHJVKPK5DQHB7AA,62,19,1,2.7659335136413574,4.442756628749346,1.6062412949689624,3.2901031970977783,9.468519492343072,0.18125086156259904,9.346544523906708,0.5470980738929225,1.2208814038701983,3.0184577837384237
AEK3Q3YE25YBBW4NBUGXY3LP3JEA,63,19,1,2.4207985401153564,4.506773965527313,1.861688980245566,3.5439491271972656,11.80928105115456,0.10121568951400893,6.847274879932403,0.438317352621555,1.0360060714141175,4.330527754404014
AHQMCHVUHJFWMNDCPM5VNJRY7LDA,64,19,1,2.4637012481689453,3.7074058344869902,1.5048114446678071,2.3387763500213623,18.263919533957765,0.07847760735426612,6.685698397111892,0.4786397473965499,0.9998389425879466,6.099061420614661
AEXP2IBYPZQKMOVKNYX53XVBX5BA,65,19,1,2.8128604888916016,4.668846696314185,1.6598216352187196,3.614370107650757,66.47722688820639,0.06504524807786105,9.06751982884407,0.475566904433977,0.9793099753034942,7.311324324026093
AHTPJH2GRKY3ATUF377HTJLNGI7A,66,19,1,2.9619431495666504,4.33375342686971,1.4631453772175753,2.9293768405914307,4.794639609510088,0.08314355482965956,11.152664911556244,0.5426257400998583,0.9547404498911138,6.526371661778996
AEC4YXC4GCBMXC2KGNFZ4EYPRT5A,67,19,1,2.4376285076141357,3.9374715764113146,1.615287794720276,2.861076593399048,66.8503359987626,0.08617682602760204,6.796199798011779,0.4404919041544314,1.001590973861166,5.111489067993103
