user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AF7R4OC3YUOI77VS55Y3B3XSN2OQ,100,127.1302,333.3597,2.6222
AGK6P7T6FVUJW7W7Q5UJKJWF3NGA,100,35.9390,343.0482,9.5453
AFUAKR7T37ENPSFCNQFHAAWRCVLQ,100,137.6903,270.8702,1.9672
AF6VZKYEJNO5IW6KCGKGZBMDKORA,100,66.2746,281.6717,4.2501
AEYSO6GNRBHDXBDQ643LNCN5W7VA,100,152.6470,322.6018,2.1134
AE5IMGWRBJA7JQFBQTBK25HDYGVA,100,140.4996,279.3965,1.9886
AHAUPRV26D4WPQN2JIJUWUZQM7WA,100,209.9488,380.9358,1.8144
AGLGCQJ6R7DK2HOZRYGHMQ7D6BTA,100,41.3613,304.4033,7.3596
AEVIVDBW7OKSXHS2P7KPTBSPPU7Q,100,32.1692,264.6562,8.2270
AET4MQOLSTJDNAS27VF6JATZECGA,100,293.3705,324.0322,1.1045
AH5VDE2Z5X2ZBRZ3IYMSCVW7ZWFQ,100,38.4037,298.0764,7.7617
AE6JXZ2HEEC3RLKQ23MI2JSCXSNA,100,9.3542,320.9696,34.3128
AFMTB6XAI3YBCJVTOGKOFJU3LUOQ,100,124.1130,286.8766,2.3114
AHWREDWG6T4UG4D5IKFYGCRCRVSA,100,244.5345,346.5145,1.4170
AGUZIRNJXRWDW42Y6CFVVYV3XLDA,100,198.7311,217.4008,1.0939
AH2JKHXWYTOQT3N2FH5QPJWKSRTQ,100,133.6309,270.9243,2.0274
AFKLEJK2Y4TKTISZMHKTHX3KCEYQ,100,61.2068,373.8520,6.1080
AFAGLQ3MJPGL5736PU4ECCH6JIDA,100,82.2312,329.3890,4.0056
AGIDJMSMKVJIHG23IYLC7OX5NG4A,100,46.4261,310.6046,6.6903
AGGQPSSYKEUIDKQK5CJSZHWVU7CQ,100,107.5359,347.8449,3.2347
AEKV4Q3JUQTQA2UR7PH7QLUHUTTQ,100,9.2784,315.4391,33.9971
AEYVCA7335K6ZSPAFZ2DEQGVPU3Q,100,123.8539,379.1232,3.0611
AHKJQPQ2NLTXMC4BL7KN5LSO5HZA,100,70.3986,264.9854,3.7641
AHUOOO3WCQNZA4MQPWHAOEUEQ4YQ,100,75.4363,239.4504,3.1742
AHSNEADAVKGQVSQB32NT34W7YQAQ,100,153.2915,256.0997,1.6707
AGSLJQOUHG4HEY3F6PC2TMUXDETQ,100,109.3635,294.4663,2.6925
AHPG65LKS3QKRWDUWAKZNLEK5RZQ,100,279.0717,318.8887,1.1427
AE35OPCE4E5LOQAODQT5QTD5SFIQ,100,73.1562,310.0528,4.2382
AH4WEBZJR7MVVWIQFUYNPKKGRCWA,100,135.8956,347.0927,2.5541
AEFI22B7AS3VNNKN4DC5HADG77QQ,100,37.5401,260.7915,6.9470
AESDV676IPKF5Z2C2JJHNZDXZ4NA,100,112.6221,414.0536,3.6765
AEEMHCO2KYLSSU547E7HNK4PMAMA,100,43.5928,294.8884,6.7646
AGDOGDBA3K4KIWTOCBCWKC5C6NEQ,100,20.2838,357.5182,17.6258
AEA7GX2M4IUP4OTI7VFQ5QW35MGA,100,105.2512,325.3000,3.0907
AGHL4KJXMKZQKJUU5YIBPEM33YUQ,100,45.4533,297.4163,6.5433
AEGJUYLQ33YRTQUTCMCJNFRQ7SMQ,100,286.1349,310.9308,1.0867
AHOHXQZCEU3KDM3TPKZRNCJ3ITVA_2_2,100,76.9817,279.1129,3.6257
AEIEKUH6Z6OH2GVPS35MCF6C2YNQ,100,56.6973,338.5572,5.9713
AG7G7N62KQJ7MLTZ7ZYA5LRCMTNQ,100,266.7689,339.0338,1.2709
AFCAOJBDIAIIQUFMWEPZ4NCEL2PQ,100,53.2743,307.9710,5.7809
AESPFWNUHN4G246P5CIB4BE5F7RQ,100,57.5318,323.1645,5.6171
